[2012-11-29 09:57:03] MYAPP.ERROR: cod: 404 => No route found for "GET /" [] []
[2012-11-29 09:57:23] MYAPP.INFO: 127.0.0.30 -  está acessando a rota "auth.login" (/login) [] []
[2012-11-29 09:57:30] MYAPP.INFO: 127.0.0.30 -  está acessando a rota "auth.authenticate" (/authenticate) [] []
[2012-11-29 09:57:30] MYAPP.INFO: 127.0.0.30 - Marcio está acessando a rota "question.show" (/) [] []
[2012-11-29 09:59:47] MYAPP.INFO: 127.0.0.30 - Marcio está acessando a rota "question.show" (/) [] []
[2012-11-29 10:04:01] MYAPP.INFO: 127.0.0.30 - Marcio está acessando a rota "question.show" (/) [] []
[2012-11-29 10:04:42] MYAPP.INFO: 127.0.0.30 - Marcio está acessando a rota "question.show" (/) [] []
[2012-11-29 10:05:34] MYAPP.INFO: 127.0.0.30 - Marcio está acessando a rota "question.show" (/) [] []
[2012-11-29 10:06:15] MYAPP.INFO: 127.0.0.30 - Marcio está acessando a rota "question.show" (/) [] []
[2012-11-29 10:07:40] MYAPP.INFO: 127.0.0.30 - Marcio está acessando a rota "question.show" (/) [] []
[2012-11-29 10:08:02] MYAPP.INFO: 127.0.0.30 - Marcio está acessando a rota "question.show" (/1) [] []
[2012-11-29 10:08:07] MYAPP.INFO: 127.0.0.30 - Marcio está acessando a rota "question.show" (/) [] []
[2012-11-29 10:08:38] MYAPP.INFO: 127.0.0.30 - Marcio está acessando a rota "question.show" (/) [] []
[2012-11-29 12:09:49] MYAPP.INFO: 127.0.0.30 -  está acessando a rota "auth.login" (/login) [] []
[2012-11-29 12:09:55] MYAPP.INFO: 127.0.0.30 -  está acessando a rota "auth.authenticate" (/authenticate) [] []
[2012-11-29 12:09:55] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/) [] []
[2012-11-29 12:11:57] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/) [] []
[2012-11-29 12:11:59] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/) [] []
[2012-11-29 12:16:05] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/) [] []
[2012-11-29 12:16:28] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/) [] []
[2012-11-29 12:16:31] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/1) [] []
[2012-11-29 12:16:36] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/) [] []
[2012-11-29 12:18:35] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/2) [] []
[2012-11-29 12:21:24] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/2) [] []
[2012-11-29 12:21:30] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/1) [] []
[2012-11-29 12:21:34] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/) [] []
[2012-11-29 12:21:37] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/2) [] []
[2012-11-29 12:22:26] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/2) [] []
[2012-11-29 12:24:28] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/2) [] []
[2012-11-29 12:24:32] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/2) [] []
[2012-11-29 12:24:34] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/2) [] []
[2012-11-29 12:24:50] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/2) [] []
[2012-11-29 12:24:54] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/2) [] []
[2012-11-29 12:26:30] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/2) [] []
[2012-11-29 12:26:33] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/2) [] []
[2012-11-29 12:28:05] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/2) [] []
[2012-11-29 12:28:09] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/2;) [] []
[2012-11-29 12:28:24] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/2) [] []
[2012-11-29 12:28:25] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/2) [] []
[2012-11-29 12:28:30] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/2;) [] []
[2012-11-29 12:28:34] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/2) [] []
[2012-11-29 12:28:34] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/2) [] []
[2012-11-29 12:29:26] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/2) [] []
[2012-11-29 12:29:30] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/1) [] []
[2012-11-29 12:30:33] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/0) [] []
[2012-11-29 12:30:38] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/-1) [] []
